label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,20200906_m1_ASD_6uM_c8_Pos_fsPRM_2uL_007,20200906_m1_ASD_6uM_c8_Pos_fsPRM_2uL_008,20200906_m1_ASD_6uM_c8_Pos_FS_2uL_003,20200906_m1_ASD_6uM_c8_Pos_FS_2uL_004,20200912_m1_ASD_6uM_c8_Neg_fsPRM_2uL_008,20200912_m1_ASD_6uM_c8_Neg_fsPRM_2uL_009,20200912_m1_ASD_6uM_c8_Neg_FS_2uL_003,20200912_m1_ASD_6uM_c8_Neg_FS_2uL_004
b,228,228,1,155.009766,8.577,0.759700,[M-H]-,C12 PARENT,orotate,C00295,C5H4N2O4,0.477,0.393750,155.009766,0.00,0.00,0.00,0.00,8877.01,6915.21,16081.94,16798.54
b,229,229,1,155.009750,9.688,0.674203,[M-H]-,C12 PARENT,orotate,C00295,C5H4N2O4,1.588,0.492188,155.009750,0.00,0.00,0.00,0.00,5506.96,6210.35,17014.38,8120.48
b,230,230,2,155.009842,12.607,0.632691,[M-H]-,C12 PARENT,orotate,C00295,C5H4N2O4,4.507,0.098438,155.009842,46758.25,49186.22,55078.85,47576.88,0.00,4604.59,4978.12,0.00
b,231,231,1,155.010056,12.758,0.555781,[M-H]-,C12 PARENT,orotate,C00295,C5H4N2O4,4.658,1.476563,155.010056,17641.82,8740.14,43524.29,15745.19,0.00,0.00,4903.23,0.00
b,232,232,3,157.024765,0.592,0.847935,[M-H]-,C12 PARENT,dihydroorotate,C00337,C5H6N2O4,6.308,4.567176,157.024765,975471.81,642135.44,756241.44,883020.50,0.00,0.00,0.00,0.00
b,234,234,1,160.040237,0.202,0.580300,[M-H]-,C12 PARENT,Indole-3-carboxylic acid,HMDB03320,C9H7NO2,14.108,1.048777,160.040237,0.00,0.00,0.00,0.00,11465.46,7358.91,9615.61,12709.28
b,235,235,2,160.040253,2.890,0.677207,[M-H]-,C12 PARENT,Indole-3-carboxylic acid,HMDB03320,C9H7NO2,11.420,0.953434,160.040253,0.00,0.00,0.00,0.00,10399.69,8473.02,23427.25,17102.69
b,236,236,3,160.040237,4.094,0.815170,[M-H]-,C12 PARENT,Indole-3-carboxylic acid,HMDB03320,C9H7NO2,10.216,1.048777,160.040237,0.00,0.00,0.00,0.00,21317.29,27053.94,40096.73,29445.06
b,237,237,4,160.040192,4.469,0.812806,[M-H]-,C12 PARENT,Indole-3-carboxylic acid,HMDB03320,C9H7NO2,9.841,1.334807,160.040192,0.00,0.00,0.00,0.00,183303.39,217031.06,179432.77,168376.91
b,239,239,1,160.040253,5.238,0.561109,[M-H]-,C12 PARENT,Indole-3-carboxylic acid,HMDB03320,C9H7NO2,9.072,0.953434,160.040253,0.00,0.00,0.00,0.00,12878.17,5572.90,17993.46,6454.22
b,243,243,1,199.001328,0.440,0.734684,[M-H]-,C12 PARENT,D-erythrose-4-phosphate,C00279,C4H9O7P,7.010,0.076677,199.001328,90056.32,72544.06,29147.56,63270.46,3021.25,3163.46,6478.27,4089.09
b,244,244,1,199.001297,1.117,0.514450,[M-H]-,C12 PARENT,D-erythrose-4-phosphate,C00279,C4H9O7P,6.333,0.076677,199.001297,15581.85,11906.39,17677.04,11005.39,4426.92,0.00,4065.37,3971.73
b,245,245,1,199.001312,2.317,0.802623,[M-H]-,C12 PARENT,D-erythrose-4-phosphate,C00279,C4H9O7P,5.133,0.000000,199.001312,20174.95,12029.17,25763.89,26152.81,3575.46,5018.27,4167.67,4009.18
b,246,246,2,199.001282,3.342,0.698018,[M-H]-,C12 PARENT,D-erythrose-4-phosphate,C00279,C4H9O7P,4.108,0.153354,199.001282,17133.34,7655.49,8914.13,13906.06,28783.48,7304.50,18221.66,16560.93
b,247,247,1,199.001282,3.910,0.781579,[M-H]-,C12 PARENT,D-erythrose-4-phosphate,C00279,C4H9O7P,3.540,0.153354,199.001282,7144.43,9011.30,10719.08,5419.09,30927.30,11661.27,21607.58,17213.47
b,248,248,1,199.001282,4.029,0.816965,[M-H]-,C12 PARENT,D-erythrose-4-phosphate,C00279,C4H9O7P,3.421,0.153354,199.001282,6566.35,4279.12,11111.58,10026.99,14776.30,18063.31,24338.49,18030.35
b,249,249,1,199.001297,4.332,0.759890,[M-H]-,C12 PARENT,D-erythrose-4-phosphate,C00279,C4H9O7P,3.118,0.076677,199.001297,5508.24,4805.57,10258.44,12129.34,36212.16,31737.03,23574.71,20315.25
b,250,250,1,199.001373,4.440,0.562716,[M-H]-,C12 PARENT,D-erythrose-4-phosphate,C00279,C4H9O7P,3.010,0.306707,199.001373,0.00,3976.49,6371.79,9460.30,15408.45,25686.48,26566.10,35109.89
b,251,251,3,199.001251,4.541,0.806910,[M-H]-,C12 PARENT,D-erythrose-4-phosphate,C00279,C4H9O7P,2.909,0.306707,199.001251,6134.30,4586.50,6341.64,6478.90,38088.88,45116.53,33743.73,36471.11
b,252,252,1,199.001144,12.782,0.721484,[M-H]-,C12 PARENT,D-erythrose-4-phosphate,C00279,C4H9O7P,5.332,0.843445,199.001144,25765.35,29839.64,48208.04,47234.22,6383.90,5920.23,6654.36,0.00
b,256,256,4,188.035141,3.847,0.845499,[M-H]-,C12 PARENT,Kynurenic acid,C01717,C10H7NO3,10.373,0.973782,188.035141,0.00,0.00,0.00,0.00,123086.81,104419.31,113813.70,122158.56
b,258,258,1,188.035156,4.508,0.504846,[M-H]-,C12 PARENT,Kynurenic acid,C01717,C10H7NO3,9.712,0.892634,188.035156,0.00,0.00,0.00,0.00,24646.15,4746.87,24786.37,23340.56
b,259,259,2,188.035126,5.997,0.824774,[M-H]-,C12 PARENT,Kynurenic acid,C01717,C10H7NO3,8.223,1.054931,188.035126,0.00,3017.03,0.00,0.00,32882.31,20675.52,36492.59,34677.79
b,260,260,1,188.035187,6.690,0.609068,[M-H]-,C12 PARENT,Kynurenic acid,C01717,C10H7NO3,7.530,0.730337,188.035187,0.00,0.00,0.00,0.00,20655.18,4301.51,21658.22,28045.10
b,261,261,1,188.035065,8.864,0.559963,[M-H]-,C12 PARENT,Kynurenic acid,C01717,C10H7NO3,5.356,1.379525,188.035065,0.00,3206.27,0.00,0.00,24429.97,7365.01,19841.94,17859.03
b,262,262,1,188.035309,10.691,0.635499,[M-H]-,C12 PARENT,Kynurenic acid,C01717,C10H7NO3,3.529,0.081149,188.035309,0.00,0.00,0.00,0.00,24787.01,6954.93,22705.57,23828.13
b,263,263,1,188.035110,10.872,0.633733,[M-H]-,C12 PARENT,Kynurenic acid,C01717,C10H7NO3,3.348,1.136079,188.035110,0.00,0.00,0.00,0.00,7139.63,6537.74,20232.50,10556.86
b,265,265,1,184.985977,4.613,0.507242,[M-H]-,C12 PARENT,3-phosphoglycerate,C00197,C3H7O7P,8.967,1.649727,184.985977,44345.64,13846.47,0.00,0.00,19306.96,22248.19,17167.69,26214.01
b,266,266,1,184.985916,4.854,0.526628,[M-H]-,C12 PARENT,3-phosphoglycerate,C00197,C3H7O7P,8.726,1.319781,184.985916,0.00,0.00,21213.58,17029.04,25854.50,16245.39,22537.48,20392.68
b,268,268,1,173.045212,1.824,0.754123,[M-H]-,C12 PARENT,shikimate,C04236,C7H10O5,9.096,1.939913,173.045212,16208.27,11460.56,8850.48,19296.75,4632.58,4222.77,3989.85,3891.46
b,270,270,1,175.025604,11.588,0.763160,[M-H]-,C12 PARENT,Ascorbic acid,C00072,C6H8O6,4.998,4.533398,175.025604,0.00,0.00,0.00,0.00,39758.95,69547.27,71902.97,44143.12
b,271,271,1,175.061356,9.973,0.715058,[M-H]-,C12 PARENT,2-Isopropylmalic acid,C02504,C7H12O5,3.897,0.871626,175.061356,0.00,0.00,0.00,0.00,4738.71,0.00,12166.05,7109.25
b,272,272,1,175.061081,11.143,0.565633,[M-H]-,C12 PARENT,2-Isopropylmalic acid,C02504,C7H12O5,2.727,0.697301,175.061081,0.00,0.00,0.00,0.00,5819.07,0.00,17767.83,9775.52
b,273,273,1,179.034897,2.481,0.681359,[M-H]-,C12 PARENT,hydroxyphenylpyruvate,C01179,C9H8O4,11.099,0.511368,179.034897,0.00,0.00,0.00,4037.78,12461.00,28064.80,15270.05,16120.73
b,274,274,1,179.035065,5.165,0.833682,[M-H]-,C12 PARENT,hydroxyphenylpyruvate,C01179,C9H8O4,8.415,0.426140,179.035065,0.00,0.00,0.00,0.00,16896.70,33475.11,10581.96,7858.21
b,275,275,2,179.034958,9.459,0.704607,[M-H]-,C12 PARENT,hydroxyphenylpyruvate,C01179,C9H8O4,4.121,0.170456,179.034958,6452.75,4114.83,22897.29,10561.97,18356.50,24238.73,8768.43,7527.86
b,276,276,1,179.035019,10.558,0.536455,[M-H]-,C12 PARENT,hydroxyphenylpyruvate,C01179,C9H8O4,3.022,0.170456,179.035019,3813.79,9262.11,22130.88,12832.38,6589.29,28347.18,9149.76,13278.29
